CÓD.;QUANT.;UN.;DESCRIÇÃO RESUMIDA
G130;20;m;CABO DE COBRE NU 95 mm², TÊMPERA MOLE, CLASSE 3A
G236;1;pç;"CONECTOR DE ATERRAMENTO DE COBRE OU BRONZE ESTANHADO TIPO UNHA , PARA FIXAÇÃO DE 1 CABO DE COBRE 70 A 120 mm² EM SUPERFICE DE CONCRETO, ACOMPANHA PARAFUSO ""DURIUM"" AUTOATARRAXANTE PARA  BUCHA DE NYLON Nº 12, ACOMPANHA PORCA E ARRUELA EM BRONZE SILÍCIO."
G341;7;pç;CONECTOR DE ATERRAMENTO DE COBRE OU BRONZE ESTANHADO, COM BERÇO, PARA FIXAÇÃO DE 1 CABO DE COBRE 50 A 150 mm² EM CHAPA DE AÇO, ACOMPANHA PORCA E ARRUELA EM BRONZE SILÍCIO.
G357;4;pç;CONECTOR DE ATERRAMENTO DE COBRE OU BRONZE ESTANHADO, COM BERÇO, PARA FIXAÇÃO/DERIVAÇÃO DE 2 CABOS DE COBRE 50 A 150 mm² EM CHAPA DE AÇO, ACOMPANHA PORCA E ARRUELA EM BRONZE SILÍCIO
G382;7;pç;"CONECTOR DE ATERRAMENTO DE COBRE OU BRONZE ESTANHADO, COM BERÇO, PARA FIXAÇÃO/DERIVAÇÃO DE 2 CABOS DE COBRE 50 A 150 mm2 EM SUPERFICE DE CONCRETO, ACOMPANHA PARAFUSO ""DURIUM"" AUTOATARRAXANTE PARA  BUCHA DE NYLON Nº 12, ACOMPANHA PORCA E ARRUELA EM BRONZE SILÍCIO."
H110;4;pç;"ELETRODUTO DE PVC RÍGIDO, TIPO PESADO, %%C 4"" BSP, VARA DE 3,00m, FAB. TIGRE"
H510;3;pç;"CURVA 90º DE PVC RÍGIDO, TIPO PESADO, %%C 4"" BSP, FAB. TIGRE"
H530;6;pç;"LUVA DE PVC RÍGIDO, TIPO PESADO, %%C 4"" BSP, FAB TIGRE"
"P003

";28;pç;"PORCA SEXTAVADA DE AÇO GALVANIZADO, BITOLA M12

"
P032;7;pç;ARRUELA LISA DE AÇO GALVANIZADO, BITOLA M10
P033;28;pç;"ARRUELA LISA DE AÇO GALVANIZADO, BITOLA M12

"
P073;28;pç;"ARRUELA DE PRESSÃO DE AÇO GALVANIZADO, BITOLA M12

"
P092;7;pç;BUCHA DE NYLON S-12
P12e;2;pç;PARAFUSO AUTOATARRAXANTE DE AÇO, CABEÇA DE PANELA, GALVANIZADO A QUENTE BITOLA M10X50 mm 
P12f;7;pç;PARAFUSO AUTOATARRAXANTE DE AÇO, CABEÇA DE PANELA, GALVANIZADO A QUENTE BITOLA M10X80 mm 
P33f;28;pç;PARAFUSO SEXTAVADO DE AÇO GALVANIZADO, ROSCA TOTAL, DIM. M12X100 mm
R639;2;pç;"ABRAÇADEIRA PARA ELETRODUTO %%C 4"" BSP"
R739;1;pç;"PRENSA-CABO PARA ELETRODUTO %%C 4"" BSP"
